player_id,year,team
5341,1998,PHI
5341,1999,PHI
5341,2000,PHI
5341,2001,PHI
5341,2002,PHI
5341,2003,PHI
5341,2004,PHI
5341,2005,PHI
5341,2006,PHI
5341,2007,PHI
5341,2008,PHI
5341,2009,DEN
5341,2010,DEN
5341,2011,DEN
19222,1995,PHI
19222,1997,SFO
409,1962,CHI
16593,1950,PIT
16593,1951,PIT
20928,2005,PHI
20928,2007,NWE
20928,2008,ARI
20928,2009,ARI
20928,2010,ARI
20928,2011,STL
20928,2012,JAX
14412,1980,STL
14412,1981,STL
14412,1982,STL
14412,1983,STL
14412,1984,STL
14412,1985,STL
14412,1986,STL
14412,1987,MIN
14412,1988,MIN
17509,2016,NYJ
22024,2011,MIA
22024,2012,MIA
22024,2013,MIA
22024,2014,MIA
18238,2004,CIN
18238,2005,CIN
18238,2006,CIN
18238,2007,IND
18238,2008,IND
18238,2009,PIT
18238,2010,CIN
14158,1975,NYG
14158,1976,NYG
14158,1977,NYG
14158,1978,NYG
14158,1979,NYG
14158,1980,NYG
14158,1981,NYG
14158,1982,NYG
14158,1983,NYG
14158,1984,NYG
14158,1985,NYG
14158,1986,NYG
14158,1987,NYG
14158,1988,NYG
7723,1975,GNB
24642,1979,BAL
24642,1980,BAL
24642,1981,BAL
22474,1987,NOR
22474,1988,NOR
22474,1989,NOR
22474,1990,NOR
22474,1992,NOR
13133,2011,IND
13133,2012,IND
13133,2013,IND
10604,2009,CHI
7060,1994,HOU
7060,1995,HOU
7060,1996,HOU
7060,1997,STL
574,1962,DTX
574,1963,KAN
574,1964,KAN
574,1965,KAN
574,1966,KAN
574,1967,KAN
574,1968,KAN
574,1969,KAN
574,1970,KAN
20401,2008,GNB
20401,2009,GNB
20401,2010,GNB
20401,2011,GNB
20401,2012,GNB
20401,2013,GNB
20401,2014,GNB
20401,2015,GNB
20401,2016,CHI
20401,2017,CHI
17571,1966,CHI
17571,1967,CHI
17571,1968,CHI
17571,1969,CHI
14547,2000,ATL
14547,2001,ATL
14547,2002,ATL
14547,2003,ATL
14547,2004,ATL
14547,2005,ATL
14547,2006,ATL
14547,2007,ATL
14547,2008,ATL
14547,2009,ATL
14547,2010,ATL
14547,2011,ATL
14547,2012,ATL
8305,1993,IND
8305,1994,IND
8305,1995,IND
